DeveloperID,DeveloperName,Country,FoundedYear
101,TechCo,USA,2010
102,InnovateCorp,UK,2012
103,FutureGizmos,Canada,2015
104,VisionTech,Germany,2013
105,ImmersiveInc,USA,2016
106,SmartWear,Sweden,2018
107,TechLabs,Australia,2014
108,HyperVision,Japan,2020
109,NextGenVR,France,2017
110,WorldVR,South Korea,2019
111,GloveTech,USA,2021
112,RealTimeAR,India,2022
113,MetaWorld,China,2021
114,VRMasters,Spain,2018
115,HoloGear,Italy,2017
116,ARWorks,Netherlands,2015
117,PixelPlay,USA,2020
118,VisionaryTech,Canada,2019
119,QuantumVR,UK,2021
120,SmartVision,Denmark,2022
