DeviceID,DeviceName,Manufacturer
1,VR Headset,TechCo
2,AR Glasses,InnovateCorp
3,VR Gloves,FutureGizmos
4,AR Goggles,VisionTech
5,VR Suit,ImmersiveInc
6,AR Smart Watch,SmartWear
7,VR Holo-Glasses,TechCo
8,AR Headset,InnovateCorp
9,VR Motion Controller,FutureGizmos
10,AR Smart Glasses,VisionTech
11,VR Enhanced Gloves,ImmersiveInc
12,AR Headset Plus,SmartWear
13,VR Gamepad,TechCo
14,AR Smart Headphones,InnovateCorp
15,VR Full-Body Suit,FutureGizmos
16,AR Portable Projector,VisionTech
17,VR Immersive Chair,ImmersiveInc
18,AR Interactive Glasses,SmartWear
19,VR Ultra Headset,TechCo
20,AR Smart Ring,InnovateCorp
