OrderID,UserID,ProductID,OrderDate,Quantity
1,1,3,        2023-01-15,2
2,2,7,        2023-03-10,1
3,3,12,        2023-06-05,3
4,4,8,        2023-07-20,1
5,5,5,        2023-09-01,2
6,6,14,        2023-12-15,1
7,7,19,        2023-11-02,4
8,8,20,        2023-08-17,1
9,9,2,        2023-05-06,3
10,10,9,        2023-10-22,2
11,11,11,        2023-04-12,1
12,12,6,        2023-02-10,5
13,13,4,        2023-09-25,2
14,14,17,        2023-06-30,3
15,15,18,        2023-01-28,1
16,16,1,        2023-07-10,2
17,17,3,        2023-11-15,1
18,18,13,        2023-12-03,2
19,19,16,        2023-03-21,1
20,20,10,        2023-08-11,4
