ProductID,ProductName,            ProductType,DeveloperID,Price
1,        VR Headset,            Gadget,101,299.99
2,        AR Glasses,            Gadget,102,349.99
3,        VR Game: Adventure,    Software,103,59.99
4,        AR App: Navigation,    Software,104,9.99
5,        VR Headset Pro,        Gadget,105,499.99
6,        AR Gloves,            Gadget,106,149.99
7,        VR Game: Battle Arena,Software,107,69.99
8,        AR App: Fitness,        Software,108,14.99
9,        VR Glasses,            Gadget,109,399.99
10,        AR Headset,            Gadget,110,429.99
11,        VR Game: Racing,        Software,111,39.99
12,        AR App: Travel Guide,Software,112,4.99
13,        VR Suit,                Gadget,113,699.99
14,        AR Goggles,            Gadget,114,279.99
15,        VR Game: Puzzle Master,Software,115,19.99
16,        AR App: Education,    Software,116,24.99
17,        VR Holo-Glasses,        Gadget,117,649.99
18,        AR Smart Watch,        Gadget,118,199.99
19,        VR Game: Horror Escape,Software,119,49.99
20,        AR App: Shopping,    Software,120,12.99
